fecha,producto,vendedor,sucursal,cant,precio,total,obs
15-mar,Mouse Inalámbrico ,Juan Pérez,GDL,4,620,2480,
9/3/2026,MOUSEINALÁMBRICO,Juan Pérez,Guadalajra,2,620,1240,
2026-03-19,mouse inalámbrico,Juan Pérez,Gdl,6,620,3720,
March 21,Mouse Inalámbrico,Juan Pérez,Guadalajara,6,620,3720,
27-mar,Mouse Inalámbrico ,Juan Pérez,GDL,2,620,1240,
5/3/2026,MOUSEINALÁMBRICO,Juan Pérez,Guadalajra,6,620,3720,
2026-03-23,mouse inalámbrico,Juan Pérez,Gdl,2,620,1240,
March 9,Mouse Inalámbrico,Juan Pérez,Guadalajara,4,620,2480,
23-mar,Mouse Inalámbrico ,Juan Pérez,GDL,6,620,3720,
21/3/2026,MOUSEINALÁMBRICO,Juan Pérez,Guadalajra,6,620,3720,
2026-03-07,mouse inalámbrico,Juan Pérez,Gdl,4,620,2480,
March 5,Mouse Inalámbrico,Juan Pérez,Guadalajara,2,620,1240,
19-mar,Mouse Inalámbrico ,Juan Pérez,GDL,2,620,1240,
17/3/2026,MOUSEINALÁMBRICO,Juan Pérez,Guadalajra,2,620,1240,
2026-03-23,mouse inalámbrico,Juan Pérez,Gdl,4,620,2480,
March 13,Mouse Inalámbrico,Juan Pérez,Guadalajara,6,620,3720,
27-mar,Mouse Inalámbrico ,Juan Pérez,GDL,3,620,1860,
3/3/2026,LAPTOPPRO14,Sofía Martínez,monterrey,4,24500,98000,
2026-03-25,laptop pro 14,Sofía Martínez,Mty,2,24500,49000,
March 27,Laptop Pro 14,Sofía Martínez,Monterrey,2,24500,49000,
25-mar,Laptop Pro 14 ,Sofía Martínez,MTY,4,24500,98000,
15/3/2026,LAPTOPPRO14,Sofía Martínez,monterrey,3,24500,73500,
2026-03-05,teclado mecánico,Sofía Martínez,Mty,2,1450,2900,
March 27,Teclado Mecánico,Sofía Martínez,Monterrey,6,1450,8700,
17-mar,Teclado Mecánico ,Sofía Martínez,MTY,4,1450,5800,
7/3/2026,TECLADOMECÁNICO,Sofía Martínez,monterrey,6,1450,8700,
2026-03-05,teclado mecánico,Sofía Martínez,Mty,4,1450,5800,
March 3,Teclado Mecánico,Sofía Martínez,Monterrey,2,1450,2900,
09-mar,Teclado Mecánico ,Sofía Martínez,MTY,4,1450,5800,
3/3/2026,TECLADOMECÁNICO,Sofía Martínez,monterrey,2,1450,2900,
2026-03-05,teclado mecánico,Sofía Martínez,Mty,2,1450,2900,
March 11,Teclado Mecánico,Sofía Martínez,Monterrey,4,1450,5800,
17-mar,Teclado Mecánico ,Sofía Martínez,MTY,6,1450,8700,
23/3/2026,TECLADOMECÁNICO,Sofía Martínez,monterrey,4,1450,5800,
2026-03-01,teclado mecánico,Sofía Martínez,Mty,4,1450,5800,
March 11,Teclado Mecánico,Sofía Martínez,Monterrey,2,1450,2900,
17-mar,Teclado Mecánico ,Sofía Martínez,MTY,6,1450,8700,
3/3/2026,TECLADOMECÁNICO,Sofía Martínez,monterrey,6,1450,8700,
2026-03-13,teclado mecánico,Sofía Martínez,Mty,4,1450,5800,
March 19,Teclado Mecánico,Sofía Martínez,Monterrey,3,1450,4350,
21-mar,Mouse Inalámbrico ,Sofía Martínez,MTY,2,620,1240,
19/3/2026,MOUSEINALÁMBRICO,Sofía Martínez,monterrey,2,620,1240,
2026-03-17,mouse inalámbrico,Sofía Martínez,Mty,4,620,2480,
March 11,Mouse Inalámbrico,Sofía Martínez,Monterrey,6,620,3720,
05-mar,Mouse Inalámbrico ,Sofía Martínez,MTY,4,620,2480,
7/3/2026,MOUSEINALÁMBRICO,Sofía Martínez,monterrey,4,620,2480,
2026-03-09,mouse inalámbrico,Sofía Martínez,Mty,2,620,1240,
March 19,Mouse Inalámbrico,Sofía Martínez,Monterrey,6,620,3720,
21-mar,Mouse Inalámbrico ,Sofía Martínez,MTY,4,620,2480,
23/3/2026,MOUSEINALÁMBRICO,Sofía Martínez,monterrey,4,620,2480,
2026-03-05,mouse inalámbrico,Sofía Martínez,Mty,6,620,3720,
March 27,Mouse Inalámbrico,Sofía Martínez,Monterrey,4,620,2480,
05-mar,Mouse Inalámbrico ,Sofía Martínez,MTY,2,620,1240,
23/3/2026,MOUSEINALÁMBRICO,Sofía Martínez,monterrey,4,620,2480,
2026-03-09,mouse inalámbrico,Sofía Martínez,Mty,4,620,2480,
March 11,Mouse Inalámbrico,Sofía Martínez,Monterrey,5,620,3100,
03-mar,Laptop Pro 14 ,María López,CDMX,2,24500,49000,
9/3/2026,LAPTOPPRO14,María López,Ciudad de Mexico,2,24500,49000,
2026-03-15,laptop pro 14,María López,CDMX ,6,24500,147000,
March 9,Laptop Pro 14,María López,Cdmx,2,24500,49000,
23-mar,Laptop Pro 14 ,María López,CDMX,2,24500,49000,
13/3/2026,TECLADOMECÁNICO,María López,Ciudad de Mexico,6,1450,8700,
2026-03-19,teclado mecánico,María López,CDMX ,2,1450,2900,
March 21,Teclado Mecánico,María López,Cdmx,6,1450,8700,
15-mar,Teclado Mecánico ,María López,CDMX,4,1450,5800,
9/3/2026,TECLADOMECÁNICO,María López,Ciudad de Mexico,2,1450,2900,
2026-03-27,teclado mecánico,María López,CDMX ,2,1450,2900,
March 21,Teclado Mecánico,María López,Cdmx,6,1450,8700,
07-mar,Teclado Mecánico ,María López,CDMX,2,1450,2900,
5/3/2026,TECLADOMECÁNICO,María López,Ciudad de Mexico,2,1450,2900,
2026-03-03,teclado mecánico,María López,CDMX ,2,1450,2900,
March 25,Teclado Mecánico,María López,Cdmx,2,1450,2900,
03-mar,Teclado Mecánico ,María López,CDMX,4,1450,5800,
17/3/2026,TECLADOMECÁNICO,María López,Ciudad de Mexico,6,1450,8700,
2026-03-15,teclado mecánico,María López,CDMX ,6,1450,8700,
March 25,Teclado Mecánico,María López,Cdmx,4,1450,5800,
19-mar,Teclado Mecánico ,María López,CDMX,4,1450,5800,
25/3/2026,TECLADOMECÁNICO,María López,Ciudad de Mexico,2,1450,2900,
2026-03-27,mouse inalámbrico,María López,CDMX ,2,620,1240,
March 17,Mouse Inalámbrico,María López,Cdmx,4,620,2480,
19-mar,Mouse Inalámbrico ,María López,CDMX,2,620,1240,
9/3/2026,MOUSEINALÁMBRICO,María López,Ciudad de Mexico,2,620,1240,
2026-03-23,mouse inalámbrico,María López,CDMX ,6,620,3720,
March 17,Mouse Inalámbrico,María López,Cdmx,4,620,2480,
15-mar,Mouse Inalámbrico ,María López,CDMX,2,620,1240,
21/3/2026,MOUSEINALÁMBRICO,María López,Ciudad de Mexico,4,620,2480,
2026-03-07,mouse inalámbrico,María López,CDMX ,6,620,3720,
March 9,Mouse Inalámbrico,María López,Cdmx,6,620,3720,
27-mar,Mouse Inalámbrico ,María López,CDMX,4,620,2480,
9/3/2026,MOUSEINALÁMBRICO,María López,Ciudad de Mexico,4,620,2480,
2026-03-15,mouse inalámbrico,María López,CDMX ,4,620,2480,
March 13,Mouse Inalámbrico,María López,Cdmx,6,620,3720,
19-mar,Mouse Inalámbrico ,María López,CDMX,4,620,2480,
21/3/2026,LAPTOPPRO14,Ana Torres,Ciudad de Mexico,2,24500,49000,
2026-03-11,laptop pro 14,Ana Torres,CDMX ,6,24500,147000,
March 13,Laptop Pro 14,Ana Torres,Cdmx,4,24500,98000,
03-mar,Laptop Pro 14 ,Ana Torres,CDMX,2,24500,49000,
1/3/2026,LAPTOPPRO14,Ana Torres,Ciudad de Mexico,6,24500,147000,
2026-03-07,laptop pro 14,Ana Torres,CDMX ,1,24500,24500,
March 25,Teclado Mecánico,Ana Torres,Cdmx,2,1450,2900,
03-mar,Teclado Mecánico ,Ana Torres,CDMX,6,1450,8700,
25/3/2026,TECLADOMECÁNICO,Ana Torres,Ciudad de Mexico,6,1450,8700,
2026-03-11,teclado mecánico,Ana Torres,CDMX ,2,1450,2900,
March 25,Teclado Mecánico,Ana Torres,Cdmx,4,1450,5800,
11-mar,Teclado Mecánico ,Ana Torres,CDMX,6,1450,8700,
25/3/2026,TECLADOMECÁNICO,Ana Torres,Ciudad de Mexico,6,1450,8700,
2026-03-15,teclado mecánico,Ana Torres,CDMX ,4,1450,5800,
March 21,Teclado Mecánico,Ana Torres,Cdmx,4,1450,5800,
23-mar,Teclado Mecánico ,Ana Torres,CDMX,6,1450,8700,
1/3/2026,TECLADOMECÁNICO,Ana Torres,Ciudad de Mexico,6,1450,8700,
2026-03-19,teclado mecánico,Ana Torres,CDMX ,6,1450,8700,
March 1,Teclado Mecánico,Ana Torres,Cdmx,4,1450,5800,
07-mar,Teclado Mecánico ,Ana Torres,CDMX,4,1450,5800,
1/3/2026,TECLADOMECÁNICO,Ana Torres,Ciudad de Mexico,6,1450,8700,
2026-03-03,teclado mecánico,Ana Torres,CDMX ,4,1450,5800,
March 17,Teclado Mecánico,Ana Torres,Cdmx,4,1450,5800,
19-mar,Teclado Mecánico ,Ana Torres,CDMX,4,1450,5800,
13/3/2026,TECLADOMECÁNICO,Ana Torres,Ciudad de Mexico,2,1450,2900,
2026-03-07,teclado mecánico,Ana Torres,CDMX ,4,1450,5800,
March 9,Teclado Mecánico,Ana Torres,Cdmx,6,1450,8700,
23-mar,Teclado Mecánico ,Ana Torres,CDMX,3,1450,4350,
17/3/2026,MOUSEINALÁMBRICO,Ana Torres,Ciudad de Mexico,4,620,2480,
2026-03-03,mouse inalámbrico,Ana Torres,CDMX ,6,620,3720,
March 21,Mouse Inalámbrico,Ana Torres,Cdmx,2,620,1240,
07-mar,Mouse Inalámbrico ,Ana Torres,CDMX,2,620,1240,
21/3/2026,MOUSEINALÁMBRICO,Ana Torres,Ciudad de Mexico,6,620,3720,
2026-03-11,mouse inalámbrico,Ana Torres,CDMX ,2,620,1240,
March 1,Mouse Inalámbrico,Ana Torres,Cdmx,6,620,3720,
03-mar,Mouse Inalámbrico ,Ana Torres,CDMX,4,620,2480,
13/3/2026,MOUSEINALÁMBRICO,Ana Torres,Ciudad de Mexico,2,620,1240,
2026-03-15,mouse inalámbrico,Ana Torres,CDMX ,4,620,2480,
March 5,Mouse Inalámbrico,Ana Torres,Cdmx,2,620,1240,
27-mar,Mouse Inalámbrico ,Ana Torres,CDMX,2,620,1240,
5/3/2026,MOUSEINALÁMBRICO,Ana Torres,Ciudad de Mexico,2,620,1240,
2026-03-19,mouse inalámbrico,Ana Torres,CDMX ,6,620,3720,
March 25,Mouse Inalámbrico,Ana Torres,Cdmx,2,620,1240,
23-mar,Mouse Inalámbrico ,Ana Torres,CDMX,2,620,1240,
1/3/2026,MOUSEINALÁMBRICO,Ana Torres,Ciudad de Mexico,6,620,3720,
2026-03-11,mouse inalámbrico,Ana Torres,CDMX ,6,620,3720,
March 9,Mouse Inalámbrico,Ana Torres,Cdmx,4,620,2480,
19-mar,Mouse Inalámbrico ,Ana Torres,CDMX,6,620,3720,
13/3/2026,MOUSEINALÁMBRICO,Ana Torres,Ciudad de Mexico,4,620,2480,
2026-03-19,mouse inalámbrico,Ana Torres,CDMX ,4,620,2480,
March 9,Mouse Inalámbrico,Ana Torres,Cdmx,2,620,1240,
11-mar,Mouse Inalámbrico ,Ana Torres,CDMX,6,620,3720,
5/3/2026,MOUSEINALÁMBRICO,Ana Torres,Ciudad de Mexico,4,620,2480,
2026-03-27,mouse inalámbrico,Ana Torres,CDMX ,4,620,2480,
March 19,Laptop Pro 14,Luis Gómez,Guadalajara,2,24500,49000,
25-mar,Laptop Pro 14 ,Luis Gómez,GDL,2,24500,49000,
19/3/2026,TECLADOMECÁNICO,Luis Gómez,Guadalajra,4,1450,5800,
2026-03-17,teclado mecánico,Luis Gómez,Gdl,2,1450,2900,
March 15,Teclado Mecánico,Luis Gómez,Guadalajara,2,1450,2900,
13-mar,Teclado Mecánico ,Luis Gómez,GDL,4,1450,5800,
3/3/2026,TECLADOMECÁNICO,Luis Gómez,Guadalajra,4,1450,5800,
2026-03-01,teclado mecánico,Luis Gómez,Gdl,6,1450,8700,
March 3,Teclado Mecánico,Luis Gómez,Guadalajara,2,1450,2900,
25-mar,Mouse Inalámbrico ,Luis Gómez,GDL,4,620,2480,
19/3/2026,MOUSEINALÁMBRICO,Luis Gómez,Guadalajra,6,620,3720,
2026-03-09,mouse inalámbrico,Luis Gómez,Gdl,2,620,1240,
March 15,Mouse Inalámbrico,Luis Gómez,Guadalajara,2,620,1240,
05-mar,Mouse Inalámbrico ,Luis Gómez,GDL,2,620,1240,
3/3/2026,MOUSEINALÁMBRICO,Luis Gómez,Guadalajra,4,620,2480,
2026-03-09,mouse inalámbrico,Luis Gómez,Gdl,6,620,3720,
March 11,Mouse Inalámbrico,Luis Gómez,Guadalajara,2,620,1240,
03-mar,Laptop Pro 14 ,Carlos Ruiz,MTY,2,24500,49000,
1/3/2026,LAPTOPPRO14,Carlos Ruiz,monterrey,2,24500,49000,
2026-03-03,laptop pro 14,Carlos Ruiz,Mty,2,24500,49000,
March 25,Laptop Pro 14,Carlos Ruiz,Monterrey,1,24500,24500,
15-mar,Teclado Mecánico ,Carlos Ruiz,MTY,4,1450,5800,
21/3/2026,TECLADOMECÁNICO,Carlos Ruiz,monterrey,4,1450,5800,
2026-03-15,teclado mecánico,Carlos Ruiz,Mty,4,1450,5800,
March 17,Teclado Mecánico,Carlos Ruiz,Monterrey,6,1450,8700,
23-mar,Teclado Mecánico ,Carlos Ruiz,MTY,6,1450,8700,
25/3/2026,TECLADOMECÁNICO,Carlos Ruiz,monterrey,6,1450,8700,
2026-03-23,teclado mecánico,Carlos Ruiz,Mty,1,1450,1450,
March 13,Mouse Inalámbrico,Carlos Ruiz,Monterrey,4,620,2480,
27-mar,Mouse Inalámbrico ,Carlos Ruiz,MTY,4,620,2480,
5/3/2026,MOUSEINALÁMBRICO,Carlos Ruiz,monterrey,4,620,2480,
2026-03-03,mouse inalámbrico,Carlos Ruiz,Mty,4,620,2480,
March 9,Mouse Inalámbrico,Carlos Ruiz,Monterrey,2,620,1240,
11-mar,Mouse Inalámbrico ,Carlos Ruiz,MTY,6,620,3720,
25/3/2026,MOUSEINALÁMBRICO,Carlos Ruiz,monterrey,4,620,2480,
2026-03-15,mouse inalámbrico,Carlos Ruiz,Mty,2,620,1240,
March 17,Laptop Pro 14,Ana Torres,CDMX,-1,24500,-24500,DEVOLUCION
,,,,,,,
OJO: faltan 2 ventas de Luis por capturar,,,,,,,
