FECHA;SUCURSAL;VENDEDOR;PRODUCTO;CANT;P.UNIT;IMPORTE;OBS
17/01/2026;monterrey;SOFIA MARTINEZ;laptop pro 14;4;23900;95600;
07/01/2026;MTY;SOFIA MARTINEZ;LAPTOP PRO 14;4;23900;95600;pago en efectivo
17/01/2026;Monterrey;SOFIA MARTINEZ;Laptop Pro 14;5;23900;119500;revisar
03/01/2026;Mty;SOFIA MARTINEZ;Teclado Mecánico;6;1450;8700;cliente frecuente
05/01/2026;monterrey;SOFIA MARTINEZ;TECLADO MECÁNICO;4;1450;5800;
07/01/2026;MTY;SOFIA MARTINEZ;teclado mecánico;4;1450;$5,800;
01/01/2026;Monterrey;SOFIA MARTINEZ;teclado mecánico;6;1450;$8,700;
11/01/2026;Monterrey;SOFIA MARTINEZ;Teclado Mecánico;2;1450;;revisar
01/01/2026;Mty;SOFIA MARTINEZ;teclado mecánico;2;1450;2900;cliente frecuente
03/01/2026;monterrey;SOFIA MARTINEZ;Teclado Mecánico;4;1450;5800;
13/01/2026;MTY;SOFIA MARTINEZ;teclado mecánico;2;1450;2900;
03/01/2026;Monterrey;SOFIA MARTINEZ;teclado mecánico;6;1450;$8,700;
13/01/2026;Mty;SOFIA MARTINEZ;TECLADO MECÁNICO;6;1450;8700;
27/01/2026;monterrey;SOFIA MARTINEZ;Teclado Mecánico;4;1450;5800;
09/01/2026;MTY;SOFIA MARTINEZ;TECLADO MECÁNICO;6;1450;8700;pago en efectivo
03/01/2026;Monterrey;SOFIA MARTINEZ;Teclado Mecánico;3;1450;4350;revisar
17/01/2026;Monterrey;SOFIA MARTINEZ;MOUSE INALÁMBRICO;6;620;;
19/01/2026;Mty;SOFIA MARTINEZ;mouse inalámbrico;4;620;2480;
05/01/2026;monterrey;SOFIA MARTINEZ;MOUSE INALÁMBRICO;4;620;2480;
11/01/2026;MTY;SOFIA MARTINEZ;Mouse Inalámbrico;2;620;1240;pago en efectivo
17/01/2026;Monterrey;SOFIA MARTINEZ;Mouse Inalámbrico;2;620;1240;revisar
11/01/2026;Mty;SOFIA MARTINEZ;mouse inalámbrico;4;620;2480;cliente frecuente
05/01/2026;monterrey;SOFIA MARTINEZ;MOUSE INALÁMBRICO;2;620;1240;
15/01/2026;MTY;SOFIA MARTINEZ;Mouse Inalámbrico;6;620;3720;
17/01/2026;Monterrey;SOFIA MARTINEZ;mouse inalámbrico;1;620;$620;
11/01/2026;CDMX ;MARIA LOPEZ;LAPTOP PRO 14;2;23900;$47,800;
25/01/2026;Ciudad de Mexico;MARIA LOPEZ;Laptop Pro 14;6;23900;143400;
15/01/2026;Ciudad de Mexico;MARIA LOPEZ;LAPTOP PRO 14;2;23900;;
05/01/2026;CDMX;MARIA LOPEZ;TECLADO MECÁNICO;4;1450;5800;
03/01/2026;Cdmx;MARIA LOPEZ;Teclado Mecánico;4;1450;5800;
05/01/2026;CDMX ;MARIA LOPEZ;TECLADO MECÁNICO;6;1450;$8,700;
03/01/2026;Ciudad de Mexico;MARIA LOPEZ;teclado mecánico;4;1450;$5,800;
25/01/2026;CDMX;MARIA LOPEZ;Teclado Mecánico;2;1450;2900;pago en efectivo
23/01/2026;Cdmx;MARIA LOPEZ;Teclado Mecánico;4;1450;5800;revisar
17/01/2026;CDMX ;MARIA LOPEZ;teclado mecánico;6;1450;8700;cliente frecuente
07/01/2026;Ciudad de Mexico;MARIA LOPEZ;teclado mecánico;6;1450;8700;
25/01/2026;CDMX;MARIA LOPEZ;Teclado Mecánico;6;1450;8700;
11/01/2026;Cdmx;MARIA LOPEZ;TECLADO MECÁNICO;4;1450;5800;
09/01/2026;CDMX ;MARIA LOPEZ;Teclado Mecánico;2;1450;2900;
03/01/2026;Ciudad de Mexico;MARIA LOPEZ;teclado mecánico;4;1450;5800;
17/01/2026;CDMX;MARIA LOPEZ;TECLADO MECÁNICO;2;1450;2900;pago en efectivo
03/01/2026;Cdmx;MARIA LOPEZ;TECLADO MECÁNICO;6;1450;8700;revisar
25/01/2026;Cdmx;MARIA LOPEZ;Teclado Mecánico;6;1450;;
27/01/2026;Cdmx;MARIA LOPEZ;TECLADO MECÁNICO;4;1450;;revisar
25/01/2026;CDMX ;MARIA LOPEZ;teclado mecánico;2;1450;2900;cliente frecuente
15/01/2026;Ciudad de Mexico;MARIA LOPEZ;MOUSE INALÁMBRICO;6;620;3720;
13/01/2026;CDMX;MARIA LOPEZ;MOUSE INALÁMBRICO;6;620;3720;
19/01/2026;Cdmx;MARIA LOPEZ;MOUSE INALÁMBRICO;4;620;$2,480;
09/01/2026;CDMX ;MARIA LOPEZ;Mouse Inalámbrico;4;620;2480;
15/01/2026;Ciudad de Mexico;MARIA LOPEZ;Mouse Inalámbrico;2;620;$1,240;
25/01/2026;Ciudad de Mexico;MARIA LOPEZ;MOUSE INALÁMBRICO;4;620;;
27/01/2026;Ciudad de Mexico;MARIA LOPEZ;mouse inalámbrico;6;620;;
09/01/2026;CDMX;MARIA LOPEZ;MOUSE INALÁMBRICO;6;620;3720;pago en efectivo
19/01/2026;Cdmx;MARIA LOPEZ;Mouse Inalámbrico;2;620;1240;revisar
17/01/2026;CDMX ;MARIA LOPEZ;Mouse Inalámbrico;2;620;1240;cliente frecuente
15/01/2026;Ciudad de Mexico;MARIA LOPEZ;MOUSE INALÁMBRICO;4;620;$2,480;
09/01/2026;CDMX;MARIA LOPEZ;Mouse Inalámbrico;6;620;$3,720;
19/01/2026;Cdmx;MARIA LOPEZ;Mouse Inalámbrico;6;620;3720;
13/01/2026;CDMX ;MARIA LOPEZ;MOUSE INALÁMBRICO;1;620;620;
11/01/2026;Ciudad de Mexico;ANA TORRES;LAPTOP PRO 14;6;23900;143400;
09/01/2026;Ciudad de Mexico;ANA TORRES;laptop pro 14;2;23900;;
23/01/2026;CDMX;ANA TORRES;laptop pro 14;6;23900;143400;
25/01/2026;Cdmx;ANA TORRES;Laptop Pro 14;2;23900;47800;
27/01/2026;CDMX ;ANA TORRES;Laptop Pro 14;1;23900;23900;
21/01/2026;Ciudad de Mexico;ANA TORRES;TECLADO MECÁNICO;6;1450;8700;
15/01/2026;Ciudad de Mexico;ANA TORRES;teclado mecánico;6;1450;;
05/01/2026;CDMX;ANA TORRES;TECLADO MECÁNICO;4;1450;5800;
11/01/2026;Cdmx;ANA TORRES;Teclado Mecánico;6;1450;8700;
05/01/2026;Cdmx;ANA TORRES;TECLADO MECÁNICO;6;1450;;revisar
11/01/2026;Cdmx;ANA TORRES;TECLADO MECÁNICO;6;1450;;
01/01/2026;CDMX ;ANA TORRES;Teclado Mecánico;4;1450;5800;
15/01/2026;Ciudad de Mexico;ANA TORRES;TECLADO MECÁNICO;6;1450;8700;
13/01/2026;CDMX;ANA TORRES;Teclado Mecánico;2;1450;2900;pago en efectivo
27/01/2026;Cdmx;ANA TORRES;Teclado Mecánico;2;1450;2900;revisar
25/01/2026;CDMX ;ANA TORRES;teclado mecánico;2;1450;2900;cliente frecuente
15/01/2026;Ciudad de Mexico;ANA TORRES;teclado mecánico;4;1450;5800;
13/01/2026;CDMX;ANA TORRES;Teclado Mecánico;6;1450;8700;
07/01/2026;Cdmx;ANA TORRES;TECLADO MECÁNICO;6;1450;8700;
13/01/2026;CDMX ;ANA TORRES;teclado mecánico;2;1450;$2,900;
03/01/2026;Ciudad de Mexico;ANA TORRES;teclado mecánico;2;1450;2900;
01/01/2026;Ciudad de Mexico;ANA TORRES;Teclado Mecánico;2;1450;;
07/01/2026;CDMX;ANA TORRES;Teclado Mecánico;2;1450;2900;
05/01/2026;Cdmx;ANA TORRES;Teclado Mecánico;6;1450;8700;
15/01/2026;CDMX ;ANA TORRES;teclado mecánico;2;1450;$2,900;
17/01/2026;Ciudad de Mexico;ANA TORRES;teclado mecánico;2;1450;$2,900;
03/01/2026;CDMX;ANA TORRES;TECLADO MECÁNICO;2;1450;2900;pago en efectivo
05/01/2026;Cdmx;ANA TORRES;mouse inalámbrico;4;620;$2,480;revisar
11/01/2026;CDMX ;ANA TORRES;MOUSE INALÁMBRICO;2;620;1240;cliente frecuente
05/01/2026;Ciudad de Mexico;ANA TORRES;MOUSE INALÁMBRICO;2;620;1240;
19/01/2026;CDMX;ANA TORRES;Mouse Inalámbrico;4;620;$2,480;
21/01/2026;Cdmx;ANA TORRES;mouse inalámbrico;6;620;$3,720;
23/01/2026;CDMX ;ANA TORRES;mouse inalámbrico;2;620;1240;
09/01/2026;Ciudad de Mexico;ANA TORRES;mouse inalámbrico;4;620;2480;
15/01/2026;CDMX;ANA TORRES;Mouse Inalámbrico;2;620;$1,240;pago en efectivo
25/01/2026;Cdmx;ANA TORRES;MOUSE INALÁMBRICO;4;620;$2,480;revisar
23/01/2026;CDMX ;ANA TORRES;Mouse Inalámbrico;6;620;$3,720;cliente frecuente
09/01/2026;Ciudad de Mexico;ANA TORRES;Mouse Inalámbrico;2;620;1240;
23/01/2026;CDMX;ANA TORRES;mouse inalámbrico;6;620;3720;
17/01/2026;Cdmx;ANA TORRES;mouse inalámbrico;4;620;2480;
03/01/2026;CDMX ;ANA TORRES;Mouse Inalámbrico;2;620;1240;
09/01/2026;Ciudad de Mexico;ANA TORRES;Mouse Inalámbrico;2;620;$1,240;
11/01/2026;CDMX;ANA TORRES;Mouse Inalámbrico;6;620;3720;pago en efectivo
09/01/2026;Cdmx;ANA TORRES;MOUSE INALÁMBRICO;2;620;1240;revisar
23/01/2026;Cdmx;ANA TORRES;Mouse Inalámbrico;6;620;;
13/01/2026;CDMX ;ANA TORRES;MOUSE INALÁMBRICO;2;620;1240;
23/01/2026;Ciudad de Mexico;ANA TORRES;MOUSE INALÁMBRICO;4;620;$2,480;
13/01/2026;CDMX;ANA TORRES;MOUSE INALÁMBRICO;6;620;3720;pago en efectivo
19/01/2026;Cdmx;ANA TORRES;mouse inalámbrico;6;620;3720;revisar
21/01/2026;CDMX ;ANA TORRES;mouse inalámbrico;2;620;1240;cliente frecuente
15/01/2026;Ciudad de Mexico;ANA TORRES;Mouse Inalámbrico;2;620;1240;
25/01/2026;CDMX;ANA TORRES;Mouse Inalámbrico;6;620;3720;
19/01/2026;Cdmx;ANA TORRES;MOUSE INALÁMBRICO;1;620;620;
15/01/2026;Monterrey;CARLOS RUIZ;LAPTOP PRO 14;6;23900;;revisar
25/01/2026;Monterrey;CARLOS RUIZ;teclado mecánico;2;1450;;
19/01/2026;Mty;CARLOS RUIZ;teclado mecánico;2;1450;$2,900;
01/01/2026;monterrey;CARLOS RUIZ;Teclado Mecánico;2;1450;$2,900;
03/01/2026;MTY;CARLOS RUIZ;teclado mecánico;4;1450;5800;pago en efectivo
17/01/2026;Monterrey;CARLOS RUIZ;Teclado Mecánico;6;1450;8700;revisar
23/01/2026;Monterrey;CARLOS RUIZ;teclado mecánico;6;1450;;
17/01/2026;Mty;CARLOS RUIZ;Teclado Mecánico;4;1450;5800;
19/01/2026;monterrey;CARLOS RUIZ;Teclado Mecánico;3;1450;4350;
09/01/2026;MTY;CARLOS RUIZ;MOUSE INALÁMBRICO;6;620;3720;pago en efectivo
19/01/2026;Monterrey;CARLOS RUIZ;MOUSE INALÁMBRICO;2;620;1240;revisar
01/01/2026;Mty;CARLOS RUIZ;mouse inalámbrico;2;620;$1,240;cliente frecuente
11/01/2026;monterrey;CARLOS RUIZ;mouse inalámbrico;2;620;1240;
09/01/2026;MTY;CARLOS RUIZ;mouse inalámbrico;2;620;$1,240;
07/01/2026;Monterrey;CARLOS RUIZ;Mouse Inalámbrico;4;620;2480;
01/01/2026;Mty;CARLOS RUIZ;MOUSE INALÁMBRICO;2;620;1240;
11/01/2026;monterrey;CARLOS RUIZ;mouse inalámbrico;4;620;$2,480;
09/01/2026;MTY;CARLOS RUIZ;mouse inalámbrico;6;620;3720;pago en efectivo
11/01/2026;Monterrey;CARLOS RUIZ;MOUSE INALÁMBRICO;4;620;$2,480;revisar
05/01/2026;Mty;CARLOS RUIZ;mouse inalámbrico;6;620;3720;cliente frecuente
